epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,7721.88,0.73859,0.3772,0.89338,0.95825,0.88806,0.95261,0.7723,0.81037,0.41588,0.94289,0.000511769,0.000511769,0.000511769
72,7824.1,0.73828,0.37139,0.88756,0.9694,0.92222,0.96157,0.77562,0.79725,0.38049,0.93815,0.000495266,0.000495266,0.000495266
73,7926.36,0.71981,0.3685,0.88899,0.96601,0.90853,0.96413,0.77749,0.80601,0.40056,0.94165,0.000478762,0.000478762,0.000478762
74,8028.56,0.72685,0.37528,0.88719,0.94767,0.90521,0.96016,0.76884,0.80808,0.40131,0.94804,0.000462259,0.000462259,0.000462259
75,8130.72,0.73257,0.36807,0.89207,0.96639,0.92849,0.96787,0.77157,0.82694,0.36463,0.95119,0.000445756,0.000445756,0.000445756
76,8233.01,0.72456,0.36764,0.89008,0.97554,0.9227,0.9711,0.78228,0.81849,0.37759,0.94778,0.000429253,0.000429253,0.000429253
77,8335.28,0.7292,0.36497,0.89121,0.97144,0.92994,0.96838,0.76493,0.8255,0.3773,0.94393,0.000412749,0.000412749,0.000412749
78,8437.46,0.73741,0.37163,0.88825,0.9722,0.89191,0.9581,0.76816,0.81862,0.4306,0.94313,0.000396246,0.000396246,0.000396246
79,8539.7,0.71823,0.35984,0.88188,0.97669,0.92393,0.97204,0.7923,0.80128,0.37478,0.94004,0.000379743,0.000379743,0.000379743
80,8642.06,0.7297,0.36717,0.89237,0.97469,0.90333,0.95907,0.76664,0.80732,0.42585,0.93838,0.000363239,0.000363239,0.000363239
81,8744.43,0.72718,0.36817,0.87935,0.97389,0.90569,0.9613,0.77075,0.81547,0.38639,0.94526,0.000346736,0.000346736,0.000346736
82,8846.74,0.73715,0.36584,0.89289,0.97454,0.93247,0.9755,0.79487,0.80614,0.35075,0.93723,0.000330233,0.000330233,0.000330233
83,8949.12,0.71606,0.35974,0.88345,0.97213,0.93627,0.97163,0.78831,0.79885,0.34843,0.93572,0.000313729,0.000313729,0.000313729
84,9051.41,0.72031,0.36318,0.88587,0.9648,0.92518,0.97483,0.7981,0.79939,0.35734,0.94034,0.000297226,0.000297226,0.000297226
85,9153.85,0.71254,0.36191,0.8858,0.97293,0.93296,0.97491,0.79105,0.80698,0.35454,0.93716,0.000280723,0.000280723,0.000280723
86,9256.16,0.70267,0.35103,0.88407,0.96838,0.92804,0.96826,0.78258,0.79314,0.35392,0.93779,0.00026422,0.00026422,0.00026422
87,9358.45,0.71174,0.35293,0.88515,0.97385,0.92448,0.96999,0.78995,0.79124,0.35794,0.93508,0.000247716,0.000247716,0.000247716
88,9460.76,0.69686,0.34811,0.88206,0.95375,0.91222,0.96275,0.78136,0.79667,0.3828,0.93498,0.000231213,0.000231213,0.000231213
89,9563.03,0.70256,0.34619,0.87851,0.96725,0.92245,0.97029,0.78913,0.79979,0.3636,0.93722,0.00021471,0.00021471,0.00021471
90,9665.28,0.70852,0.34663,0.87746,0.97459,0.92196,0.96778,0.78404,0.79444,0.36522,0.93399,0.000198206,0.000198206,0.000198206
91,9767.8,0.69109,0.33941,0.88004,0.96947,0.90434,0.96,0.78458,0.79619,0.39347,0.93477,0.000181703,0.000181703,0.000181703
92,9869.95,0.6908,0.32688,0.88282,0.9741,0.88819,0.95212,0.76713,0.80405,0.40488,0.93826,0.0001652,0.0001652,0.0001652
93,9972.11,0.69109,0.33504,0.87863,0.97015,0.90136,0.96058,0.7795,0.79504,0.38293,0.93488,0.000148696,0.000148696,0.000148696
94,10074.2,0.6884,0.32663,0.87935,0.96745,0.89718,0.95215,0.769,0.80201,0.39957,0.93547,0.000132193,0.000132193,0.000132193
95,10176.3,0.67787,0.32443,0.87233,0.9665,0.86774,0.9387,0.76466,0.79946,0.43013,0.93767,0.00011569,0.00011569,0.00011569
96,10278.5,0.69101,0.33206,0.87597,0.96162,0.9012,0.95949,0.78491,0.80242,0.38779,0.93945,9.91865e-05,9.91865e-05,9.91865e-05
97,10380.6,0.67062,0.32215,0.87502,0.96367,0.90526,0.96088,0.78778,0.80492,0.39464,0.93959,8.26832e-05,8.26832e-05,8.26832e-05
98,10482.7,0.67309,0.32045,0.87361,0.96397,0.90494,0.95882,0.7826,0.80101,0.38914,0.93719,6.61799e-05,6.61799e-05,6.61799e-05
99,10584.9,0.66791,0.32066,0.8686,0.95934,0.89506,0.9599,0.7873,0.80465,0.40259,0.93876,4.96766e-05,4.96766e-05,4.96766e-05
100,10687,0.67298,0.31694,0.87695,0.96039,0.90348,0.96342,0.78729,0.79991,0.3816,0.93662,3.31733e-05,3.31733e-05,3.31733e-05
